"lance","camp","sector","validez","lat","long","prof","talla","sexo","numero"
50,"N83","1C",1,42.9083,-9.5667,301,27,"1",1
50,"N83","1C",1,42.9083,-9.5667,301,28,"1",1
50,"N83","1C",1,42.9083,-9.5667,301,32,"2",1
50,"N83","1C",1,42.9083,-9.5667,301,34,"1",2
50,"N83","1C",1,42.9083,-9.5667,301,39,"1",2
50,"N83","1C",1,42.9083,-9.5667,301,40,"1",1
50,"N83","1C",1,42.9083,-9.5667,301,41,"1",1
50,"N83","1C",1,42.9083,-9.5667,301,43,"1",1
50,"N83","1C",1,42.9083,-9.5667,301,51,"1",1
51,"N83","1C",1,42.515,-9.3925,289,23,"2",1
51,"N83","1C",1,42.515,-9.3925,289,28,"1",1
51,"N83","1C",1,42.515,-9.3925,289,32,"1",2
51,"N83","1C",1,42.515,-9.3925,289,33,"1",1
51,"N83","1C",1,42.515,-9.3925,289,33,"2",1
51,"N83","1C",1,42.515,-9.3925,289,34,"1",1
51,"N83","1C",1,42.515,-9.3925,289,34,"2",1
51,"N83","1C",1,42.515,-9.3925,289,36,"1",2
51,"N83","1C",1,42.515,-9.3925,289,37,"2",1
51,"N83","1C",1,42.515,-9.3925,289,40,"1",1
51,"N83","1C",1,42.515,-9.3925,289,41,"1",1
51,"N83","1C",1,42.515,-9.3925,289,44,"1",1
54,"N83","1B",1,42.3567,-9.1,129.5,20,"1",1
54,"N83","1B",1,42.3567,-9.1,129.5,22,"1",3
54,"N83","1B",1,42.3567,-9.1,129.5,22,"2",2
54,"N83","1B",1,42.3567,-9.1,129.5,23,"1",4
54,"N83","1B",1,42.3567,-9.1,129.5,23,"2",1
54,"N83","1B",1,42.3567,-9.1,129.5,24,"1",2
54,"N83","1B",1,42.3567,-9.1,129.5,24,"2",4
54,"N83","1B",1,42.3567,-9.1,129.5,25,"1",1
54,"N83","1B",1,42.3567,-9.1,129.5,25,"2",2
54,"N83","1B",1,42.3567,-9.1,129.5,26,"1",3
54,"N83","1B",1,42.3567,-9.1,129.5,26,"2",2
54,"N83","1B",1,42.3567,-9.1,129.5,27,"1",3
54,"N83","1B",1,42.3567,-9.1,129.5,27,"2",6
54,"N83","1B",1,42.3567,-9.1,129.5,28,"1",9
54,"N83","1B",1,42.3567,-9.1,129.5,28,"2",4
54,"N83","1B",1,42.3567,-9.1,129.5,29,"1",5
54,"N83","1B",1,42.3567,-9.1,129.5,29,"2",6
54,"N83","1B",1,42.3567,-9.1,129.5,30,"1",5
54,"N83","1B",1,42.3567,-9.1,129.5,30,"2",1
54,"N83","1B",1,42.3567,-9.1,129.5,31,"1",6
54,"N83","1B",1,42.3567,-9.1,129.5,31,"2",5
54,"N83","1B",1,42.3567,-9.1,129.5,32,"1",4
54,"N83","1B",1,42.3567,-9.1,129.5,32,"2",4
54,"N83","1B",1,42.3567,-9.1,129.5,33,"1",7
54,"N83","1B",1,42.3567,-9.1,129.5,34,"1",1
54,"N83","1B",1,42.3567,-9.1,129.5,34,"2",2
54,"N83","1B",1,42.3567,-9.1,129.5,35,"1",4
54,"N83","1B",1,42.3567,-9.1,129.5,35,"2",1
54,"N83","1B",1,42.3567,-9.1,129.5,36,"1",4
54,"N83","1B",1,42.3567,-9.1,129.5,37,"2",1
54,"N83","1B",1,42.3567,-9.1,129.5,38,"2",1
54,"N83","1B",1,42.3567,-9.1,129.5,40,"1",5
55,"N83","1B",1,42.2934,-9.1134,139,25,"2",1
55,"N83","1B",1,42.2934,-9.1134,139,26,"1",1
55,"N83","1B",1,42.2934,-9.1134,139,28,"1",1
55,"N83","1B",1,42.2934,-9.1134,139,29,"1",1
55,"N83","1B",1,42.2934,-9.1134,139,30,"1",1
55,"N83","1B",1,42.2934,-9.1134,139,32,"2",2
55,"N83","1B",1,42.2934,-9.1134,139,34,"1",1
55,"N83","1B",1,42.2934,-9.1134,139,34,"2",1
55,"N83","1B",1,42.2934,-9.1134,139,36,"1",1
55,"N83","1B",1,42.2934,-9.1134,139,36,"2",4
56,"N83","1C",1,42.3559,-9.32,259.5,10,"1",1
56,"N83","1C",1,42.3559,-9.32,259.5,19,"1",2
56,"N83","1C",1,42.3559,-9.32,259.5,30,"1",1
56,"N83","1C",1,42.3559,-9.32,259.5,31,"2",2
56,"N83","1C",1,42.3559,-9.32,259.5,32,"1",2
56,"N83","1C",1,42.3559,-9.32,259.5,32,"2",1
56,"N83","1C",1,42.3559,-9.32,259.5,33,"1",1
56,"N83","1C",1,42.3559,-9.32,259.5,33,"2",1
56,"N83","1C",1,42.3559,-9.32,259.5,34,"1",2
56,"N83","1C",1,42.3559,-9.32,259.5,34,"2",1
56,"N83","1C",1,42.3559,-9.32,259.5,35,"1",1
56,"N83","1C",1,42.3559,-9.32,259.5,36,"1",3
56,"N83","1C",1,42.3559,-9.32,259.5,36,"2",1
56,"N83","1C",1,42.3559,-9.32,259.5,37,"1",3
56,"N83","1C",1,42.3559,-9.32,259.5,38,"1",1
56,"N83","1C",1,42.3559,-9.32,259.5,39,"1",2
56,"N83","1C",1,42.3559,-9.32,259.5,40,"1",2
56,"N83","1C",1,42.3559,-9.32,259.5,42,"1",3
56,"N83","1C",1,42.3559,-9.32,259.5,51,"1",1
60,"N83","1B",1,41.9825,-9.0159,102,28,"1",1
60,"N83","1B",1,41.9825,-9.0159,102,30,"2",1
60,"N83","1B",1,41.9825,-9.0159,102,31,"2",1
60,"N83","1B",1,41.9825,-9.0159,102,32,"1",1
60,"N83","1B",1,41.9825,-9.0159,102,42,"1",2
60,"N83","1B",1,41.9825,-9.0159,102,43,"1",1
60,"N83","1B",1,41.9825,-9.0159,102,45,"1",1
104,"N83","4B",1,43.5567,-3.8416,100.5,19,"1",2
110,"N83","4C",1,43.5683,-4.2974,355,57,"1",1
110,"N83","4C",1,43.5683,-4.2974,355,58,"1",1
110,"N83","4C",1,43.5683,-4.2974,355,62,"1",1
115,"N83","5C",1,43.6025,-2.9391,373,33,"1",1
115,"N83","5C",1,43.6025,-2.9391,373,48,"1",1
115,"N83","5C",1,43.6025,-2.9391,373,77,"1",1
115,"N83","5C",1,43.6025,-2.9391,373,78,"1",1
116,"N83","5B",1,43.4958,-2.2333,164.5,63,"1",1
120,"N83","5C",1,43.545,-2.0217,264,24,"1",1
123,"N83","5C",1,43.535,-2.4584,285,48,"1",1
123,"N83","5C",1,43.535,-2.4584,285,48,"2",1
125,"N83","5C",1,43.58,-2.575,333,35,"2",1
125,"N83","5C",1,43.58,-2.575,333,40,"2",1
125,"N83","5C",1,43.58,-2.575,333,44,"1",1
125,"N83","5C",1,43.58,-2.575,333,75,"1",1
125,"N83","5C",1,43.58,-2.575,333,80,"1",1
128,"N83",NA,NA,NA,NA,NA,40,"2",1
128,"N83",NA,NA,NA,NA,NA,45,"1",1
1,"N84","1B",1,42.2242,-9.08,139,27,"1",1
1,"N84","1B",1,42.2242,-9.08,139,37,"1",1
2,"N84","1B",1,41.9867,-9.0267,104.5,26,"1",1
2,"N84","1B",1,41.9867,-9.0267,104.5,27,"2",2
2,"N84","1B",1,41.9867,-9.0267,104.5,28,"1",1
2,"N84","1B",1,41.9867,-9.0267,104.5,28,"2",2
2,"N84","1B",1,41.9867,-9.0267,104.5,29,"1",1
2,"N84","1B",1,41.9867,-9.0267,104.5,29,"2",1
2,"N84","1B",1,41.9867,-9.0267,104.5,30,"1",3
2,"N84","1B",1,41.9867,-9.0267,104.5,30,"2",4
2,"N84","1B",1,41.9867,-9.0267,104.5,31,"1",1
2,"N84","1B",1,41.9867,-9.0267,104.5,31,"2",2
2,"N84","1B",1,41.9867,-9.0267,104.5,33,"2",2
2,"N84","1B",1,41.9867,-9.0267,104.5,34,"1",2
2,"N84","1B",1,41.9867,-9.0267,104.5,35,"1",2
2,"N84","1B",1,41.9867,-9.0267,104.5,36,"1",2
2,"N84","1B",1,41.9867,-9.0267,104.5,37,"1",1
2,"N84","1B",1,41.9867,-9.0267,104.5,40,"1",3
2,"N84","1B",1,41.9867,-9.0267,104.5,41,"1",2
2,"N84","1B",1,41.9867,-9.0267,104.5,42,"1",1
2,"N84","1B",1,41.9867,-9.0267,104.5,43,"1",1
2,"N84","1B",1,41.9867,-9.0267,104.5,44,"1",1
2,"N84","1B",1,41.9867,-9.0267,104.5,45,"1",1
